	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
	(0.196)	(0.236)	(0.259)	(0.290)	(0.309)	(0.332)	(0.332)	(0.382)	(0.0951)	(0.0930)
2020.year	0.952***	0.996***	0.562**	0.388	0.320	0.378	0.378	0.397	0.216**	0.0598
	(0.196)	(0.237)	(0.220)	(0.276)	(0.304)	(0.325)	(0.325)	(0.382)	(0.0758)	(0.107)
2021o.year									-	-
										
2021.year	0.939***	0.985***	0.390	0.255	0.164	0.169	0.169	0.189		
	(0.206)	(0.247)	(0.244)	(0.298)	(0.334)	(0.346)	(0.346)	(0.407)		
recession										0.194***
										(0.0495)
Constant	5.991***	13.95	-5.009	0.742	-8.699	-8.907	-8.907	-8.659	-8.490	-7.907
	(1.602)	(13.42)	(10.68)	(10.20)	(13.20)	(13.10)	(13.10)	(13.84)	(14.09)	(14.28)
										
Observations	399	399	399	399	399	399	399	399	399	399
R-squared	0.674	0.677	0.776	0.805	0.830	0.832	0.832	0.832	0.832	0.838
Number of country	19	19	19	19	19	19	19	19	19	19
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
